PEPMASS;RT;IONMODE;ADDUCT;CHARGE;ID;INSTRUMENT;DATACOLLECTOR;SAMPLEID;ORGANISM;SUBMITUSER;SMILES;FORMULA;COMPOUND
114.091336;N/A;Positive;M+H;1;1;Q Exactive;Thermo;MIX2;Standards;Adrem;C1CCC(=O)NCC1;C6H11NO;Caprolactam E
152.070606;2.4;Positive;M+H;1;2;Q Exactive;Thermo;MIX1;Standards;Adrem;CC(=O)NC1=CC=C(C=C1)O;C8H9NO2;Acetaminophen
161.107326;N/A;Positive;M+H;1;3;Q Exactive;Thermo;MIX2;Standards;Adrem;C1=CC=C2C(=C1)C(=CN2)CCN;C10H12N2;tryptamine
176.070606;N/A;Positive;M+H;1;4;Q Exactive;Thermo;MIX2;Standards;Adrem;C1=CC=C2C(=C1)C(=CN2)CC(=O)O;C10H9NO2;3-Indoleacetic acid
181.049536;N/A;Positive;M+H;1;5;Q Exactive;Thermo;MIX2;Standards;Adrem;CC(=O)OC1=CC=CC=C1C(=O)O;C9H8O4;acetyl sialic acid
195.087656;N/A;Positive;M+H;1;6;Q Exactive;Thermo;MIX2;Standards;Adrem;CN1C=NC2=C1C(=O)N(C(=O)N2C)C;C8H10N4O2;caffeine
205.079396;5.74;Positive;M+H;1;7;Q Exactive;Thermo;MIX1;Standards;Adrem;C1CSC2=NC(CN21)C3=CC=CC=C3;C11H12N2S;Levamisole
235.180486;N/A;Positive;M+H;1;8;Q Exactive;Thermo;MIX2;Standards;Adrem;CCN(CC)CC(=O)NC1=C(C=CC=C1C)C;C14H22N2O;lidocaine
257.109611;8.69;Positive;M+H;1;9;Q Exactive;Thermo;JNJ42165;Standards;Adrem;FC1(F)OC2=CC=C(CN3CCNCC3)C=C2O1;C12H14F2N2O2;JNJ-39544258-AAA
264.195806;N/A;Positive;M+H;1;10;Q Exactive;Thermo;MIX2;Standards;Adrem;CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O;C16H25NO2;Desvenlafaxine
267.170316;2.75;Positive;M+H;1;11;Q Exactive;Thermo;MIX1;Standards;Adrem;CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O;C14H22N2O3;Atenolol
279.093326;N/A;Positive;M+H;1;12;Q Exactive;Thermo;MIX2;Standards;Adrem;C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)C3=CC=CC=C3;C18H15OP;triphenylphosphine oxide
288.159416;4.92;Positive;M+H;1;13;Q Exactive;Thermo;MIX1;Standards;Adrem;CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O;C17H21NO3;Galantamine
290.175066;N/A;Positive;M+H;1;14;Q Exactive;Thermo;MIX2;Standards;Adrem;CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3;C17H23NO3;atropine
296.102966;N/A;Positive;M+H;1;15;Q Exactive;Thermo;MIX2;Standards;Adrem;COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3;C16H13N3O3;mebendazole
297.055596;10.34;Positive;M+H;1;16;Q Exactive;Thermo;MIX1;Standards;Adrem;C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl;C14H14Cl2N2O;Enilconazole
297.971746;N/A;Positive;M+H;1;17;Q Exactive;Thermo;MIX2;Standards;Adrem;C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl;C7H8ClN3O4S2;hydrochlorothiazide
300.030106;8.11;Positive;M+H;1;18;Q Exactive;Thermo;MIX1;Standards;Adrem;C1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl;C12H11Cl2N3O2;Aconazole
